fecha,flujo,desde,hasta,sub_kpi,valor,fuente,plan,temporalidad
7/14/2024,f,area_seca,tsf,agua_a_atranque,88387.41,Disco Compartido,Real,Dia
7/14/2024,j,ptas,control_polvo,agua_incendio,18547,Disco Compartido,Real,Dia
7/14/2024,i,servicios,ptas,agua_incendio,18547,Disco Compartido,Real,Dia
7/14/2024,d,agua_nueva,servicios,agua_incendio,18547,Disco Compartido,Real,Dia
7/14/2024,H,control_polvo,evaporacion,agua_incendio,18547,Disco Compartido,Real,Dia
7/14/2024,e,tsf,area_seca,agua_recuperada_tranque_relaves,13502.22,Disco Compartido,Real,Dia
7/14/2024,B,agua_mineral,area_seca,apilado_dl,87.9,Disco Compartido,Real,Dia
7/14/2024,c,agua_nueva,control_polvo,cachimba_mina,7087,Disco Compartido,Real,Dia
7/14/2024,H,control_polvo,evaporacion,cachimba_mina,7087,Disco Compartido,Real,Dia
7/14/2024,c,agua_nueva,control_polvo,cerro_las_antena,18547,Disco Compartido,Real,Dia
7/14/2024,H,control_polvo,evaporacion,cerro_las_antena,18547,Disco Compartido,Real,Dia
7/14/2024,B,agua_mineral,area_seca,chancado_primario,60.79,Disco Compartido,Real,Dia
7/14/2024,h,sx_ew,area_seca,demin,130382,Disco Compartido,Real,Dia
7/14/2024,g,area_seca,sx_ew,demin,130382,Disco Compartido,Real,Dia
7/14/2024,b,agua_nueva,sx_ew,demin,130382,Disco Compartido,Real,Dia
7/14/2024,B,agua_mineral,area_seca,humedad_pila,0.5,Disco Compartido,Real,Dia
7/14/2024,a,agua_nueva,area_seca,make_up_fresca_a_tk,139549,Disco Compartido,Real,Dia
7/14/2024,a,agua_nueva,area_seca,piscina_dl,1096,Disco Compartido,Real,Dia
7/14/2024,A,suministro_agua,agua_nueva,pozo_1,447.2,Disco Compartido,Real,Dia
7/14/2024,A,suministro_agua,agua_nueva,pozo_2,6088.44,Disco Compartido,Real,Dia
7/14/2024,A,suministro_agua,agua_nueva,pozo_3,5258.53,Disco Compartido,Real,Dia
7/14/2024,A,suministro_agua,agua_nueva,pozo_4,5061.73,Disco Compartido,Real,Dia
7/14/2024,A,suministro_agua,agua_nueva,pozo_5,0,Disco Compartido,Real,Dia
7/14/2024,A,suministro_agua,agua_nueva,pozo_6,0,Disco Compartido,Real,Dia
7/14/2024,D,tsf,retencion,relaves,42332.53,Disco Compartido,Real,Dia
7/14/2024,H,control_polvo,evaporacion,total_mina_m3,1341.99,Disco Compartido,Real,Dia
7/14/2024,C,aguas_halladas,control_polvo,total_mina_m3,1341.99,Disco Compartido,Real,Dia
7/14/2024,D,tsf,retencion,w0,0.61,Disco Compartido,Real,Dia
7/14/2024,c,agua_nueva,control_polvo,agua_a_chancado,303.97,Disco Compartido,Real,Dia
7/14/2024,H,control_polvo,evaporacion,agua_a_chancado,303.97,Disco Compartido,Real,Dia
7/14/2024,J,tsf,infiltracion,infiltracion_promedio_final,4.75,Disco Compartido,Real,Dia
7/14/2024,F,tsf,evaporacion,evaporacion_total,7741.06,Disco Compartido,Real,Dia
7/14/2024,F,tsf,evaporacion,resaturacion_total,5035.3,Disco Compartido,Real,Dia
7/14/2024,G,area_seca,evaporacion,evap_total_pilas,146725.98,Disco Compartido,Real,Dia
7/14/2024,G,area_seca,evaporacion,evap_piscina_reservorio,3153.38,Disco Compartido,Real,Dia
7/14/2024,I,agua_nueva,evaporacion,evap_piscina_reservorio_total,2549.58,Disco Compartido,Real,Dia
7/14/2024,G,area_seca,evaporacion,evap_total_piscinas,10496.31,Disco Compartido,Real,Dia
7/14/2024,E,area_seca,retencion,retencion_hl,4559.11,Disco Compartido,Real,Dia
7/14/2024,E,area_seca,retencion,retencion_dl,2197.57,Disco Compartido,Real,Dia
7/14/2024,E,area_seca,retencion,retencion_ral,13925.9,Disco Compartido,Real,Dia
7/14/2024,E,area_seca,retencion,perdidas_concentrado,26.83,Disco Compartido,Real,Dia
7/14/2024,j,ptas,control_polvo,potable_m3_mes,624.43,Disco Compartido,Real,Dia
7/14/2024,i,servicios,ptas,potable_m3_mes,624.43,Disco Compartido,Real,Dia
7/14/2024,d,agua_nueva,servicios,potable_m3_mes,624.43,Disco Compartido,Real,Dia
7/14/2024,H,control_polvo,evaporacion,potable_m3_mes,624.43,Disco Compartido,Real,Dia
7/14/2024,h,sx_ew,area_seca,pls_m3_mes,3284635.47,Disco Compartido,Real,Dia
7/14/2024,a,agua_nueva,area_seca,rechazo_total_corregido,161969.11,Disco Compartido,Real,Dia
7/14/2024,A,suministro_agua,agua_nueva,suministro_a_agua_nueva,16855.9,Disco Compartido,Real,Dia
7/14/2024,C,aguas_halladas,control_polvo,aguas_halladas_a_control_polvo,1.34,Disco Compartido,Real,Dia
7/14/2024,D,tsf,retencion,tsf_a_retencion,0.03,Disco Compartido,Real,Dia
7/14/2024,E,area_seca,retencion,area_seca_a_retencion,20.68,Disco Compartido,Real,Dia
7/14/2024,F,tsf,evaporacion,tsf_a_evaporacion,12.78,Disco Compartido,Real,Dia
7/14/2024,G,area_seca,evaporacion,area_seca_a_evaporacion,154.67,Disco Compartido,Real,Dia
7/14/2024,c,agua_nueva,control_polvo,agua_nueva_a_control_polvo,42.22,Disco Compartido,Real,Dia
7/14/2024,d,agua_nueva,servicios,agua_nueva_a_servicio,19.17,Disco Compartido,Real,Dia
7/14/2024,a,agua_nueva,area_seca,agua_nueva_a_area_seca,302.61,Disco Compartido,Real,Dia
7/14/2024,I,agua_nueva,evaporacion,agua_nueva_a_evaporacion,2.55,Disco Compartido,Real,Dia
7/14/2024,b,agua_nueva,sx_ew,agua_nueva_a_sx_ew,130.38,Disco Compartido,Real,Dia
7/14/2024,B,agua_mineral,area_seca,agua_mineral_a_area_seca,0.74,Disco Compartido,Real,Dia
7/14/2024,g,area_seca,sx_ew,area_seca_a_sx_ew,3284.64,Disco Compartido,Real,Dia
7/14/2024,f,area_seca,tsf,area_seca_a_tsf,88.39,Disco Compartido,Real,Dia
7/14/2024,j,ptas,control_polvo,ptas_a_control_polvo,19.17,Disco Compartido,Real,Dia
7/14/2024,i,servicios,ptas,servicios_a_ptas,19.17,Disco Compartido,Real,Dia
7/14/2024,h,sx_ew,area_seca,sx_ew_a_area_seca,3415.02,Disco Compartido,Real,Dia
7/14/2024,e,tsf,area_seca,tsf_a_area_seca,13.5,Disco Compartido,Real,Dia
7/14/2024,J,tsf,infiltracion,tsf_a_infiltracion,4.75,Disco Compartido,Real,Dia
7/14/2024,H,control_polvo,evaporacion,control_polvo_a_evaporacion,62.74,Disco Compartido,Real,Dia
10/24/2024,f,area_seca,tsf,agua_a_atranque,0,Disco Compartido,Real,Dia
10/24/2024,j,ptas,control_polvo,agua_incendio,0,Disco Compartido,Real,Dia
10/24/2024,i,servicios,ptas,agua_incendio,0,Disco Compartido,Real,Dia
10/24/2024,d,agua_nueva,servicios,agua_incendio,0,Disco Compartido,Real,Dia
10/24/2024,H,control_polvo,evaporacion,agua_incendio,0,Disco Compartido,Real,Dia
10/24/2024,e,tsf,area_seca,agua_recuperada_tranque_relaves,0,Disco Compartido,Real,Dia
10/24/2024,B,agua_mineral,area_seca,apilado_dl,0,Disco Compartido,Real,Dia
10/24/2024,c,agua_nueva,control_polvo,cachimba_mina,0,Disco Compartido,Real,Dia
10/24/2024,H,control_polvo,evaporacion,cachimba_mina,0,Disco Compartido,Real,Dia
10/24/2024,c,agua_nueva,control_polvo,cerro_las_antena,0,Disco Compartido,Real,Dia
10/24/2024,H,control_polvo,evaporacion,cerro_las_antena,0,Disco Compartido,Real,Dia
10/24/2024,B,agua_mineral,area_seca,chancado_primario,0,Disco Compartido,Real,Dia
10/24/2024,h,sx_ew,area_seca,demin,0,Disco Compartido,Real,Dia
10/24/2024,g,area_seca,sx_ew,demin,0,Disco Compartido,Real,Dia
10/24/2024,b,agua_nueva,sx_ew,demin,0,Disco Compartido,Real,Dia
10/24/2024,B,agua_mineral,area_seca,humedad_pila,0,Disco Compartido,Real,Dia
10/24/2024,a,agua_nueva,area_seca,make_up_fresca_a_tk,0,Disco Compartido,Real,Dia
10/24/2024,a,agua_nueva,area_seca,piscina_dl,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_1,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_2,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_3,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_4,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_5,0,Disco Compartido,Real,Dia
10/24/2024,A,suministro_agua,agua_nueva,pozo_6,0,Disco Compartido,Real,Dia
10/24/2024,D,tsf,retencion,relaves,0,Disco Compartido,Real,Dia
10/24/2024,H,control_polvo,evaporacion,total_mina_m3,0,Disco Compartido,Real,Dia
10/24/2024,C,aguas_halladas,control_polvo,total_mina_m3,0,Disco Compartido,Real,Dia
10/24/2024,D,tsf,retencion,w0,0,Disco Compartido,Real,Dia
10/24/2024,c,agua_nueva,control_polvo,agua_a_chancado,0,Disco Compartido,Real,Dia
10/24/2024,H,control_polvo,evaporacion,agua_a_chancado,0,Disco Compartido,Real,Dia
10/24/2024,J,tsf,infiltracion,infiltracion_promedio_final,0,Disco Compartido,Real,Dia
10/24/2024,F,tsf,evaporacion,evaporacion_total,0,Disco Compartido,Real,Dia
10/24/2024,F,tsf,evaporacion,resaturacion_total,0,Disco Compartido,Real,Dia
10/24/2024,G,area_seca,evaporacion,evap_total_pilas,0,Disco Compartido,Real,Dia
10/24/2024,G,area_seca,evaporacion,evap_piscina_reservorio,0,Disco Compartido,Real,Dia
10/24/2024,I,agua_nueva,evaporacion,evap_piscina_reservorio_total,0,Disco Compartido,Real,Dia
10/24/2024,G,area_seca,evaporacion,evap_total_piscinas,0,Disco Compartido,Real,Dia
